Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000157978	233	138	356	1041	471	356	155	313	399	252	284	215
ENSG00000130770	265	211	371	1440	744	514	600	650	763	272	400	284
ENSG00000229044	4	7	5	0	4	4	0	2	1	2	3	0
ENSG00000162512	549	479	461	723	270	304	638	2849	3598	574	442	323
ENSG00000158006	188	121	198	698	430	464	168	314	359	133	189	195
ENSG00000214812	0	0	0	0	3	4	0	0	1	0	3	3
ENSG00000126698	502	482	503	2981	737	723	897	1705	1837	775	782	959
ENSG00000229447	9	10	1	10	12	4	2	12	10	6	3	1
ENSG00000229607	0	0	0	0	1	2	1	0	0	3	0	0
ENSG00000130766	126	79	166	407	190	242	653	1161	1910	147	152	83
ENSG00000168528	725	117	277	2615	1444	3240	2588	2053	2796	292	504	192
ENSG00000196581	7	18	13	39	19	29	15	127	309	42	26	29
ENSG00000169403	272	119	366	647	139	176	81	128	211	403	191	333
ENSG00000084628	18	4	1	1348	1242	1031	16	15	45	39	6	20
ENSG00000060688	310	945	439	1413	562	537	334	660	851	663	469	431
ENSG00000171612	115	292	171	167	121	91	527	1143	665	163	88	144
ENSG00000270927	0	0	0	0	1	0	0	0	0	3	0	1
ENSG00000188910	3	92	5	4	2	7	33	202	196	25	19	67
ENSG00000230523	1	0	3	4	6	7	0	2	2	11	1	4
ENSG00000158161	401	637	395	1165	470	483	382	669	1267	415	398	382
ENSG00000142684	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121769	32	61	57	232	61	102	428	808	126	55	150	65
ENSG00000142627	93	184	139	397	127	107	2769	7353	8183	181	259	152
ENSG00000284668	0	6	0	3	3	4	0	0	0	8	3	2
ENSG00000233234	1	0	0	1	0	1	0	0	0	2	0	1
ENSG00000142632	80	234	105	343	106	116	135	319	262	168	181	145
ENSG00000234593	33	22	22	5	15	30	0	0	2	14	6	10
ENSG00000270605	32	18	14	10	12	29	3	17	8	15	11	16
ENSG00000189337	117	309	145	110	125	104	467	1227	2034	186	130	283
ENSG00000235143	0	0	0	10	5	4	0	1	0	14	5	13
ENSG00000225478	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000028137	531	326	415	1131	322	490	262	1869	1789	752	612	486
ENSG00000204464	13	25	17	4	5	8	3	3	3	9	2	6
ENSG00000233372	0	0	0	0	1	4	0	0	0	4	1	2
ENSG00000283259	0	0	1	2	1	4	0	3	0	3	4	2
ENSG00000284543	53	2	57	28	14	34	6	9	0	52	23	8
ENSG00000130939	440	932	509	696	735	585	618	1137	1339	516	370	343
