"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000279928",2.10262501671562,4.52899422415456,1.76688523179348,2.56326451919992,0.010369301403772,0.0448230455885285
"ENSG00000226374",2.8139666392566,4.40283839416337,1.7387811865964,2.53214057530824,0.0113368530601615,0.0479846774437313
"ENSG00000142655",148.849444850233,-1.72913385363898,0.342321688744431,-5.05119573340826,4.39052877454687e-07,1.19149867088565e-05
"ENSG00000235054",4.45545916262204,4.61891763328813,1.59703203002326,2.89218847615777,0.00382568368242982,0.0212909667368451
"ENSG00000149527",89.7244270627014,-1.8598192236719,0.630097436502781,-2.95163750227968,0.00316093774350246,0.018470530849805
"ENSG00000171621",1006.65902219166,-3.30617628116883,0.543996521328322,-6.07756879234424,1.22018340535764e-09,6.33486004408763e-08
"ENSG00000284694",5.25400981998075,5.13427411714712,1.50115307976237,3.42022022028551,0.000625704608214893,0.00523949673702121
"ENSG00000284674",3.52806500200079,4.89832661802109,1.57842807610354,3.10329415206106,0.00191379318850942,0.0125115743775693
"ENSG00000284703",4.70511739193804,5.88100495040762,1.45911970064329,4.0305157608487,5.56545967853346e-05,0.00074478017900504
"ENSG00000173614",130.597955203241,1.28950405746429,0.361643598877649,3.5656764324496,0.000362918911920089,0.0034151080688225
"ENSG00000233623",4.23996097386357,4.36333414078016,1.65470607401145,2.63692398868293,0.00836615759300466,0.0380517805356173
"ENSG00000162592",9.65417936423566,4.30007058267971,1.18080181294368,3.64165310007429,0.000270892946413972,0.0027043531888111
"ENSG00000204624",16.4610849596882,2.78595096575799,0.849169804614268,3.28079372419924,0.00103515419464243,0.00774584668345404
"ENSG00000171729",285.571171973134,-2.23417541471387,0.481120525090889,-4.64369175331234,3.42238055837194e-06,7.15341276118843e-05
"ENSG00000279457",25.8723244521997,-1.24702872394853,0.496063932507192,-2.51384678915444,0.0119422301962644,0.0498953160327786
"ENSG00000048707",2805.14698793633,1.31096252258891,0.312141768757847,4.19989457933111,2.67039284187268e-05,0.00040763776937466
"ENSG00000162444",137.53446564279,-2.0689913189295,0.578056097752926,-3.57922237473539,0.000344618134826424,0.00327923041797641
"ENSG00000288398",48.2568616779717,1.29130224229542,0.421677745444118,3.06229640109511,0.00219645839951284,0.0139450192697095
"ENSG00000284692",5.32813349940915,4.11997495919007,1.37425295400209,2.99797424279999,0.00271780642010386,0.0164672565214676
"ENSG00000284745",3.17210683300432,4.88216948248931,1.62556150873915,3.00337419177459,0.00267003916924248,0.0162353706218067
"ENSG00000280222",10.1070359099975,3.63471282855229,0.994644571529703,3.65428308019851,0.000257901599721311,0.00259740386264114
"ENSG00000175087",408.875474480747,3.16220109250776,0.378645138216278,8.35135796911129,6.74825590955336e-17,1.32247144763465e-14
"ENSG00000230035",3.15219872788341,4.10016863467454,1.60199051670426,2.55942128990235,0.0104846595480658,0.0451995396098296
"ENSG00000158014",39.088900532872,3.20316591313638,0.976668478120976,3.2796859782953,0.00103922688954253,0.0077716302278142
"ENSG00000204138",675.648818615128,-1.84348654467782,0.346650510931767,-5.3179974831789,1.04915520081315e-07,3.34306966654994e-06
"ENSG00000142675",210.350832151882,-1.05913072825882,0.355946258210656,-2.97553550241847,0.00292477493857221,0.0174483535349956
"ENSG00000197245",34.738948506007,-1.80815625220895,0.656892779884351,-2.75258962737767,0.00591259595143311,0.0294265188563083
"ENSG00000130772",169.347460872906,2.02302402684333,0.506581155770767,3.99348456569665,6.51093187265922e-05,0.000851988686139659
"ENSG00000215899",6.50576906074473,3.63506518169865,1.17165296741085,3.10251011417785,0.00191886990851107,0.0125348470268626
"ENSG00000284676",3.82740899200446,4.24724553039197,1.50981287991806,2.81309398461514,0.00490673074990996,0.0257467051869283
"ENSG00000090020",857.083347724541,-3.5283690595733,0.485690468972145,-7.26464545833131,3.74017956568142e-13,4.04012729947822e-11
"ENSG00000157978",332.994356699677,1.25072956100163,0.457536299314152,2.73361821319199,0.00626426324487728,0.0307848583550659
"ENSG00000162512",768.701245255361,-2.17038265425521,0.400606678814978,-5.41773956608848,6.03572469823455e-08,2.07385492905868e-06
"ENSG00000158006",273.289432904862,1.09696352984513,0.399510852716715,2.74576653521593,0.00603697072204952,0.0298870739261046
"ENSG00000130766",366.307329875956,-1.96438954303836,0.419159578477621,-4.6864956544068,2.77922717814444e-06,5.98856422075531e-05
"ENSG00000196581",42.8663829670084,-1.94169450464872,0.635504684765953,-3.0553582864048,0.00224791807016001,0.0141943486801584
"ENSG00000084628",281.87047195679,5.78709055561664,0.686838869214963,8.42568878233569,3.58634248925122e-17,7.34770441981672e-15
"ENSG00000171612",274.635097964995,-2.48488463047958,0.392784948611347,-6.32632344814803,2.51071261448355e-10,1.52928307295711e-08
"ENSG00000121769",166.839269227888,-1.867850938961,0.67221568913789,-2.77864823618815,0.00545856009395949,0.0277922435837549
"ENSG00000142627",1252.55666570232,-4.71558846199964,0.42573770247035,-11.0762763895172,1.63533081403407e-28,1.26689589204099e-25
"ENSG00000234593",14.8912293052236,5.00809104082403,1.24154011025097,4.03377305289932,5.48883319235058e-05,0.000736860191932675
"ENSG00000189337",359.155343354972,-3.10238356892489,0.460915603283894,-6.73091461174513,1.6859989310421e-11,1.33749620799997e-09
"ENSG00000235143",4.40899582871308,4.21418470202651,1.5166813822984,2.77855636075673,0.00546010401751007,0.0277936912735486
"ENSG00000175147",43.3350310265719,-1.24535121573476,0.432200126549832,-2.88142260780013,0.00395884442861015,0.0218432523497574
"ENSG00000132881",37.7158482382862,1.39192008582027,0.467396026990801,2.97803148816167,0.0029010617892814,0.0173437193649145
"ENSG00000009709",10.3296023422377,6.49127139244841,1.4766200352128,4.39603366990273,1.1024684039598e-05,0.000193628563043615
"ENSG00000116954",354.366279996675,-1.60926087694154,0.37402282384283,-4.3025739991145,1.68825258449635e-05,0.000278275436808223
"ENSG00000117215",85.8094286488439,3.71403190588057,0.861975499679994,4.30874416646342,1.64184152298165e-05,0.000271709427740164
"ENSG00000272078",32.0249631927109,-1.55746142802603,0.586866936729739,-2.6538578518409,0.00795773419189875,0.0366867849543778
"ENSG00000276747",4.69654944176247,5.15794356688017,1.58956641718419,3.24487452120254,0.00117502388266893,0.00856508703119321
"ENSG00000284705",7.10326860051964,6.17543296484247,1.39489269205314,4.42717421922462,9.54756162519423e-06,0.000171265431598681
"ENSG00000142686",215.441217569378,0.907890615677893,0.342814787603334,2.64834146165363,0.00808877785445933,0.0371376696732983
"ENSG00000224751",10.3451263164115,6.19866194725191,1.40017708847213,4.4270556905169,9.55280751940666e-06,0.000171297558632804
"ENSG00000117148",29.6492015704981,5.06593506863086,1.43074907181171,3.54075719386351,0.000398980561697257,0.00368445804237506
"ENSG00000117000",1706.32614857916,-2.32185350130775,0.412417418620111,-5.62986284399998,1.8035298167552e-08,7.0968898289317e-07
"ENSG00000092853",310.074653875169,3.59506123135264,0.568537246341474,6.32335217171221,2.55949059054355e-10,1.55517283051152e-08
"ENSG00000187513",319.576636840692,-4.60609637471273,0.412634646355858,-11.1626505805826,6.21116527852189e-29,5.04845550285892e-26
"ENSG00000230138",4.42232321180773,5.45409166080049,1.69844228687622,3.21123166971523,0.00132167337392715,0.00937405635631751
"ENSG00000066056",407.231377995465,-2.10525337238356,0.453645478149353,-4.64074585504951,3.47153871107134e-06,7.24380305657778e-05
"ENSG00000232467",5.11949513379977,4.29604709261888,1.45493058814316,2.9527505488091,0.00314956362554982,0.0184170909444965
"ENSG00000117016",165.603283724273,2.16606529948021,0.606010239939901,3.57430478352151,0.000351159695543544,0.00332967084810565
