"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000279928",2.10262501671562,5.07818471320153,1.76121048722745,2.88334912267969,0.00393471086561355,0.0152076665910908
"ENSG00000269896",18.1801354402512,-1.7265327301656,0.567829945900639,-3.04058062212117,0.00236122466021679,0.0103209443477007
"ENSG00000226374",2.8139666392566,5.78732223301054,1.70998967650429,3.38441939885946,0.000713289578362317,0.0040949738189184
"ENSG00000142655",148.849444850233,-1.9588957480158,0.347224265181175,-5.64158656075976,1.6849029546461e-08,5.61634318215366e-07
"ENSG00000232596",3.19116392938063,4.80324992776516,1.57308006597235,3.05340461154225,0.00226260641596558,0.00998278954901429
"ENSG00000235054",4.45545916262204,4.96829083243838,1.59762187199801,3.10980396520546,0.00187211547960953,0.00860884786003062
"ENSG00000149527",89.7244270627014,-1.629155747145,0.6312019259752,-2.58103735128497,0.00985039235478481,0.0303272120181542
"ENSG00000171621",1006.65902219166,-2.22688141102295,0.543225424679164,-4.09936889890265,4.14278259657838e-05,0.000428210466214086
"ENSG00000284694",5.25400981998075,6.65490770486504,1.47931349421103,4.49864598065762,6.8387629620399e-06,9.82675461716287e-05
"ENSG00000142583",75.4877663877752,1.99140411291342,0.650167468755244,3.06290949426614,0.00219196343718359,0.00973791812884198
"ENSG00000284674",3.52806500200079,6.0291014288081,1.56029868683918,3.86406877071833,0.000111513803622565,0.000953226378614153
"ENSG00000287727",17.1651298729218,2.18302863708365,0.739238797382431,2.95307638724257,0.00314624097985258,0.0128480727782178
"ENSG00000284703",4.70511739193804,5.88356840582049,1.46638813283518,4.01228588398689,6.01336135174546e-05,0.000579835073824591
"ENSG00000226457",3.52124073585364,3.29792971004448,1.36278054932816,2.42000057285109,0.0155204826510206,0.0426028483591187
"ENSG00000173614",130.597955203241,1.1480099437417,0.363640821360801,3.15698864457975,0.00159407553883264,0.00760469727496053
"ENSG00000233623",4.23996097386357,4.67690110382187,1.6561977276763,2.8238784691389,0.00474463718111061,0.0175245943421775
"ENSG00000162592",9.65417936423566,4.98701869692171,1.17725655671383,4.23613584352621,2.27399235621599e-05,0.000263669571400356
"ENSG00000204624",16.4610849596882,2.52599926173335,0.856136763938648,2.95046231879182,0.00317298745693331,0.0129307668616372
"ENSG00000171729",285.571171973134,-1.63718557259653,0.480465691710711,-3.40749735276059,0.000655615444870751,0.0038365848516866
"ENSG00000048707",2805.14698793633,1.01613182580932,0.312357786142155,3.2531022785098,0.00114152401313305,0.00587125676743714
"ENSG00000162444",137.53446564279,-3.24345484447256,0.58895235383717,-5.50715999917591,3.64668800425758e-08,1.09900186429681e-06
"ENSG00000279625",2.04380444259795,5.45276580707304,2.13051116590889,2.5593697392085,0.0104862146197101,0.0317810158863025
"ENSG00000180758",321.606557996396,-0.796476330303651,0.317515677283472,-2.50846300604103,0.0121257664438379,0.0353851603848383
"ENSG00000284692",5.32813349940915,4.13472113468477,1.38123144180969,2.99350348502598,0.00275794358922976,0.0116186689767374
"ENSG00000284745",3.17210683300432,5.71728326945123,1.61371353825657,3.54293567842784,0.000395699202907868,0.00258521829971067
"ENSG00000280222",10.1070359099975,3.96084852605345,0.995531193364201,3.97862824636217,6.93140203107048e-05,0.000649042573697908
"ENSG00000175087",408.875474480747,2.38762804321394,0.380216360019584,6.27965625437834,3.39322416579072e-10,1.75758079467227e-08
"ENSG00000230035",3.15219872788341,4.61528322407897,1.59850159405335,2.887255940969,0.00388617968257034,0.0150737448188046
"ENSG00000162511",1415.92162386428,1.45414669296659,0.544736085825592,2.66945174150289,0.00759751900538429,0.02495099736212
"ENSG00000204138",675.648818615128,-1.94454496258389,0.347508269396043,-5.59567968256823,2.19759112915317e-08,7.0336377640584e-07
"ENSG00000142675",210.350832151882,-1.79968302091217,0.3609397116974,-4.98610422346923,6.16089188073755e-07,1.27487762680609e-05
"ENSG00000197245",34.738948506007,-2.03032078698035,0.667410753273804,-3.04208581749868,0.00234944901378722,0.0102866836468321
"ENSG00000130772",169.347460872906,1.2576002774372,0.50928701807368,2.46933503664383,0.0135364414849951,0.0384416912883208
"ENSG00000284676",3.82740899200446,4.99557457250456,1.5013677801661,3.32734899369685,0.000876764936162979,0.004795704571004
"ENSG00000233399",2.94126631958132,4.30417979335425,1.65514064237931,2.60049187552236,0.00930902232849994,0.0290467464531368
"ENSG00000090020",857.083347724541,-4.02879174211867,0.48796024976456,-8.25639331085382,1.50140310363212e-16,2.74055239003592e-14
"ENSG00000162512",768.701245255361,-1.66849647982505,0.400428098766467,-4.16678171428256,3.08930055556791e-05,0.000336546164250035
"ENSG00000130766",366.307329875956,-2.66463983789695,0.422636860974946,-6.30479753173945,2.88570873949558e-10,1.52493837308363e-08
"ENSG00000168528",1303.83307699439,-2.49318609417576,0.667668898580348,-3.7341653916739,0.000188338702256554,0.00144424101161695
"ENSG00000169403",257.906810376764,1.72249610875249,0.557388687977904,3.09029613607941,0.00199957020026664,0.00905791055172447
"ENSG00000171612",274.635097964995,-2.02732267106936,0.392403254917968,-5.16642674509205,2.38611658856142e-07,5.6128122342075e-06
"ENSG00000121769",166.839269227888,-1.83671109450339,0.673398221189756,-2.72752590771372,0.00638112464285179,0.0218685750652788
"ENSG00000142627",1252.55666570232,-4.25693531373625,0.42550519362892,-10.0044262149446,1.45734040562744e-23,6.76853655058077e-21
"ENSG00000284668",2.40154800237838,4.969444284775,1.82277759250255,2.72630314593252,0.00640481445205819,0.021931780461705
"ENSG00000234593",14.8912293052236,4.50007009812492,1.25474006519028,3.58645605011623,0.000335202528306854,0.00226258895698682
"ENSG00000189337",359.155343354972,-1.89040407882941,0.458003603914326,-4.12748734436385,3.66748608927154e-05,0.000387514960898762
"ENSG00000235143",4.40899582871308,5.395563919455,1.50033378101795,3.59624237467627,0.000322847010129896,0.0021982018959638
"ENSG00000284543",26.3810811323363,2.72487750446117,1.05911850659124,2.57277867160602,0.0100885701029004,0.0308879637237811
"ENSG00000130939",648.110413607003,-0.762105014418445,0.309792712527745,-2.46004823096086,0.0138918345443608,0.0391944833840063
"ENSG00000273274",24.3180643293904,4.74145075534925,1.06376546522983,4.457233206311,8.30242678682978e-06,0.000115197892731065
"ENSG00000009709",10.3296023422377,7.09111106965564,1.47437841385048,4.8095597460197,1.51263080240308e-06,2.75263245713752e-05
"ENSG00000158008",168.09405779809,1.94769744824577,0.743995476275035,2.61788883179413,0.0088475623738773,0.0279727787026754
"ENSG00000130940",452.187437795116,-1.49985664066095,0.415266307343975,-3.61179468243876,0.000304085282934011,0.00209354167366235
"ENSG00000163879",219.978694540926,-3.74064304920521,0.62357248872478,-5.99873008646503,1.98866591798551e-09,8.5697149867829e-08
"ENSG00000116954",354.366279996675,-1.4167614821203,0.374578026758019,-3.78228668238336,0.000155394246015746,0.00124048120339665
"ENSG00000117215",85.8094286488439,4.74740415377905,0.858365339027461,5.53075006402043,3.18864381292019e-08,9.77165039443285e-07
"ENSG00000044012",2.24098677945599,5.73930563083681,1.88518733927314,3.0444219050663,0.00233127947819262,0.0102242663087243
"ENSG00000284650",2.64969879895769,5.70785579343355,1.96902067640243,2.8988297897726,0.00374558169189197,0.0146377444578426
"ENSG00000272078",32.0249631927109,-2.04535632874832,0.605048281551811,-3.38048448547354,0.00072358159964383,0.0041426805732245
"ENSG00000284632",1.52672095804109,4.89317645459904,2.03484494357071,2.40469253937973,0.0161860772551706,0.0439581240279708
"ENSG00000284653",1.67902318257409,5.18889405514233,2.21534297312265,2.34225314910417,0.0191677089489772,0.049910311721625
"ENSG00000276747",4.69654944176247,6.50418669192818,1.57142465677059,4.13903820581181,3.48764871629359e-05,0.000372372200104909
"ENSG00000284705",7.10326860051964,6.87136341285913,1.39080523018114,4.94056483521002,7.78965848150577e-07,1.56768283354329e-05
"ENSG00000159339",8.33555358653898,3.25543776041077,0.99987469883371,3.25584572167695,0.00113055164430941,0.00582270314590113
"ENSG00000261781",1.59998113360587,5.09338206394784,2.13994056339062,2.38015118320747,0.0173055364437466,0.0462352650143677
"ENSG00000142686",215.441217569378,1.07437008220151,0.343362355712838,3.12896875363947,0.00175420961362047,0.00818461456070271
"ENSG00000224751",10.3451263164115,6.19945605719327,1.40628769852717,4.408383905858,1.04144820261405e-05,0.000138142925014877
"ENSG00000117148",29.6492015704981,8.86586372626496,1.39063133288288,6.37542353363015,1.82458008867032e-10,1.01825697872389e-08
"ENSG00000117000",1706.32614857916,-2.04772735931875,0.412495527267106,-4.96424136495611,6.89701277732474e-07,1.40837876938043e-05
"ENSG00000092853",310.074653875169,4.96349519475958,0.567427209920476,8.74736901576365,2.18384632766891e-18,5.04335781748953e-16
"ENSG00000187513",319.576636840692,-4.68440149953306,0.418510272660536,-11.193038273,4.41056557837056e-29,3.9225881101253e-26
"ENSG00000230138",4.42232321180773,5.68181221908433,1.7015772937303,3.33914435742635,0.000840368808467348,0.00463728266586603
"ENSG00000284720",2.20367610253783,5.06841566899329,1.75970565444583,2.88026333051105,0.00397343146204061,0.0153296572819894
"ENSG00000066056",407.231377995465,-2.02163717612366,0.454303087152548,-4.44997455067881,8.58804655287568e-06,0.000118280179871566
