,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000121446,12.39556427,7.928121431,1.389233088,5.706833144,1.15E-08,4.02E-07
ENSG00000233304,7.983067597,7.161625427,1.466617402,4.88309045,1.04E-06,2.02E-05
ENSG00000177614,150.3543666,2.695958445,0.641031462,4.205656986,2.60E-05,0.000293146
ENSG00000287157,4.727017268,4.464651057,1.599384014,2.791481607,0.005246734,0.018865676
ENSG00000225755,2.639383436,4.281234795,1.764225888,2.426693104,0.015237139,0.042059199
ENSG00000197472,105.7750977,3.43453767,0.961391284,3.572465996,0.000353635,0.002363979
ENSG00000230184,14.05641186,6.211195624,1.424214853,4.361136672,1.29E-05,0.000166073
ENSG00000231718,4.792754296,5.401006514,1.935542232,2.790435891,0.005263712,0.018903959
ENSG00000136643,634.8045911,1.204222379,0.418435137,2.877918874,0.004003081,0.015417732
ENSG00000232537,5.221047294,5.549633859,1.46739556,3.781961736,0.000155597,0.001241689
ENSG00000227728,3.438184812,6.073570565,1.58213423,3.838846571,0.000123614,0.001035689
ENSG00000162877,37.88946829,2.719072154,1.042037091,2.609381354,0.009070609,0.028486211
ENSG00000225401,3.926764777,3.387116554,1.229979374,2.753799476,0.005890785,0.020575565
ENSG00000135747,13.9113294,4.604071874,1.259516352,3.655428425,0.000256753,0.001844032
ENSG00000232812,1.956922637,4.513304045,1.859137669,2.427633047,0.015197711,0.041964879
ENSG00000234464,1.77903778,5.075238616,1.939048465,2.617386161,0.008860604,0.027993924
ENSG00000285280,29.39847399,3.58917455,0.692813132,5.180581002,2.21E-07,5.26E-06
ENSG00000232892,5.22442026,5.481755047,1.453739941,3.770794826,0.000162728,0.001287535
ENSG00000230813,1.699950974,5.039391479,2.021806248,2.49251949,0.012684037,0.036607936
ENSG00000133065,911.8853378,-2.631806031,0.474195996,-5.550038491,2.86E-08,8.86E-07
ENSG00000042781,31.54333593,4.744194563,0.790751244,5.999604298,1.98E-09,8.53E-08
ENSG00000287046,8.095473948,4.009815978,1.24163176,3.229472785,0.001240187,0.006253294
ENSG00000228863,24.24715972,2.236177303,0.682222508,3.277782948,0.001046258,0.005485899
ENSG00000226876,35.30919173,5.957649145,1.094151414,5.44499515,5.18E-08,1.49E-06
ENSG00000226693,2.76147939,5.4586658,1.694144829,3.222077421,0.001272647,0.006377202
ENSG00000223828,4.598873285,6.078028015,1.541146176,3.943836159,8.02E-05,0.000730893
ENSG00000272672,2.24134225,4.648499778,1.890821921,2.458454563,0.013953643,0.039324588
ENSG00000235096,15.87355878,6.00063857,1.3613332,4.407913192,1.04E-05,0.00013828
ENSG00000236069,4.969307453,3.906114322,1.499171566,2.605515214,0.00917362,0.02872985
ENSG00000225222,9.707690835,3.3781119,1.434243277,2.355326991,0.018506413,0.048618443
ENSG00000118193,384.5012444,5.487884376,0.579254229,9.474051458,2.69E-21,9.00E-19
ENSG00000198842,20.79986137,5.6545814,1.234493194,4.580488112,4.64E-06,7.10E-05
ENSG00000229663,1.830224955,4.6940269,1.868337179,2.51240887,0.011991007,0.035097269
ENSG00000162702,670.0561878,-1.035007518,0.323170267,-3.202669382,0.001361602,0.006725152
ENSG00000235060,4.719982401,4.320571662,1.460826974,2.957620403,0.003100236,0.01269991
